0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-0.009963743,0.005659742,-0.009954713,0.0007863291,0.0065324744,-0.012284681,0.0021034358,-0.007607157,0.014465974,-0.00051418116,0.009561942,0.0015695263,-0.014267876,0.0041608396,0.014105879,0.003175262,0.009974313,0.012006045,-0.0084972195,-0.008998294,0.003468039,-0.0027802663,0.010620307,0.012500302,-0.004580427,-0.008222517,0.008766127,-0.007037074,0.010081355,-0.0023830992,0.0052357567,-0.012639093
0.10217737,-0.006107896,0.07363983,-0.040574275,0.12160042,0.05106361,0.10475914,0.1596623,-0.090514205,0.0055406555,0.21316785,0.13001066,0.040041566,-0.06294067,-0.12138989,-0.083584554,0.10532765,-0.10867816,0.03763603,0.010114276,-0.05674136,-0.16036408,0.048332937,0.09367081,0.09248153,-0.13445209,-0.0102921855,0.14265978,0.070038594,-0.034684222,-0.13992807,0.04133749
-0.13493474,0.031851992,-0.0698666,0.01431212,0.0059755873,-0.13266838,-0.023125604,-0.055579115,-0.06716701,-0.022310369,0.03957552,0.050683253,0.048259325,-0.073349826,-0.101470806,0.045775667,0.03738912,-0.0094292,-0.03118479,-0.016110994,0.10321086,0.13076775,-0.0054094535,-0.066550374,0.09713662,0.108432606,-0.12557767,-0.020041943,0.035292782,-0.010602728,0.013073282,-0.028342482
0.12598337,-0.14616312,0.15145183,-0.13755582,-0.090791896,0.002218231,0.025871333,-0.13354345,-0.0024418368,0.08914067,-0.053379275,-0.18807259,-0.07076261,-0.076569684,0.024872486,-0.012913298,0.025044942,-0.02694005,0.08929226,-0.10244404,-0.14415513,-0.18448874,0.16782673,0.024538899,-0.01531359,0.027142989,0.10944331,-0.10749058,0.078999825,0.060246047,0.10676494,-0.06748679
0.11838835,-0.06579453,0.15243939,-0.085694805,0.008616461,-0.036421202,0.0054261526,0.015509791,-0.12224352,-0.06167283,0.18452115,0.036327943,-0.060887225,-0.121365525,-0.1840989,-0.053427223,0.08346766,0.058672298,0.13952734,0.07173026,-0.0020090586,-0.15412182,0.096433714,-0.012742888,0.10530426,-0.08160551,-0.10963949,-0.021691008,0.030315805,-0.11779466,0.002395455,-0.11971761
0.002579737,-0.024015313,0.018394683,-0.00023058198,0.028522203,0.0031331582,0.020714993,0.012123819,0.056980576,-0.006917468,0.008517619,-0.04221201,-0.009044087,0.0051835645,-0.015038506,-0.020131009,-0.0024465804,-0.0064138803,-0.023839777,0.012175645,-0.03136967,-0.026670549,-0.0007341754,-0.0030101275,-0.009263888,-0.033368446,-0.008182044,0.0013894802,0.029181,-0.0067641456,-0.011424183,0.013252215
-0.047878537,0.08581615,-0.14157572,0.20177785,0.06272118,0.051632255,0.052583553,0.08127005,-0.11282004,0.1014498,-0.06693801,0.14713077,0.06352881,0.041142248,0.17003971,-0.016055431,-0.007961225,-0.14343163,-0.12102169,-0.107479475,-0.07697391,0.095546775,-4.896679e-05,0.07886712,0.04374803,0.012235864,0.14581917,0.06974557,-0.06622634,0.15632424,-0.10410483,0.16524987
0.08817734,-0.057456102,-0.029223844,-0.033017687,0.10929313,0.026480757,0.1389624,0.12429971,0.1494737,0.11187344,0.17244707,-0.03843524,0.024568165,0.01762011,0.062314376,-0.034083277,0.02135303,-0.11899568,-0.041204676,-0.055949483,-0.101938345,0.01612969,0.024693891,0.048060957,0.015543649,-0.09419327,0.06801011,0.15248312,0.11895241,0.060197163,-0.14473613,0.0023161606
-0.09191816,0.07850634,-0.10431943,-0.0102266865,0.011386819,-0.018095724,0.013230449,-0.00014502104,0.02460359,0.036165293,-0.07067932,-0.03282451,0.123157874,0.017530436,0.008089156,-0.027958445,-0.018828927,-0.054999035,-0.07829269,-0.054550126,-0.02854403,-0.024303079,0.061060753,0.032033507,-0.002742194,0.12584855,0.06321481,-0.0063003832,0.042067196,0.041005302,-0.013377222,0.10932421
-0.0710011,0.13749774,-0.05486107,-0.09258648,-0.059445105,0.07395753,-0.05929526,0.019997971,0.15631776,-0.030028198,0.0036285243,-0.047979772,0.12488326,0.1365958,-0.05127535,0.06107798,-0.06378364,0.07142157,-0.008869846,0.030272415,0.10616252,0.036327403,0.011706718,-0.0022658408,-0.13697535,0.06050536,-0.04435438,0.039032444,0.0065421355,-0.052961994,0.107916825,-0.046545
